pcode,name,province_pcode,region_pcode,population
PH0504106,Cawayan,PH05041,PH05,71845
PH0504107,Claveria,PH05041,PH05,46120
PH0504108,Dimasalang,PH05041,PH05,27131
PH0504109,Esperanza,PH05041,PH05,20111
PH0504110,Mandaon,PH05041,PH05,45394
PH0504111,City of Masbate (Capital),PH05041,PH05,110369
PH0504112,Milagros,PH05041,PH05,64169
PH0504113,Mobo,PH05041,PH05,44499
PH0504114,Monreal,PH05041,PH05,28022
PH0504115,Palanas,PH05041,PH05,27136
PH0504116,Pio V. Corpus (Limbuhan),PH05041,PH05,23921
PH0504117,Placer,PH05041,PH05,57472
PH0504118,San Fernando,PH05041,PH05,25392
PH0504119,San Jacinto,PH05041,PH05,33615
PH0504120,San Pascual,PH05041,PH05,48715
PH0504121,Uson,PH05041,PH05,59029
PH0506202,Barcelona,PH05062,PH05,21940
PH0506203,Bulan,PH05062,PH05,110849
PH0506204,Bulusan,PH05062,PH05,24091
PH0506205,Casiguran,PH05062,PH05,36024
PH0506206,Castilla,PH05062,PH05,67132
PH0506207,Donsol,PH05062,PH05,53181
PH0506208,Gubat,PH05062,PH05,62951
PH0506209,Irosin,PH05062,PH05,65919
PH0506210,Juban,PH05062,PH05,35809
PH0506211,Magallanes,PH05062,PH05,39612
PH0506212,Matnog,PH05062,PH05,47623
PH0506213,Pilar,PH05062,PH05,86493
PH0506214,Prieto Diaz,PH05062,PH05,26176
PH0506215,Santa Magdalena,PH05062,PH05,17474
PH0506216,City of Sorsogon (Capital),PH05062,PH05,192078
PH1303901,City of Manila,PH13039,PH13,1957470
PH1307401,City of Mandaluyong,PH13074,PH13,500647
PH1307402,City of Marikina,PH13074,PH13,492046
PH1307403,City of Pasig,PH13074,PH13,908251
PH1307404,Quezon City,PH13074,PH13,3163105
PH1307405,City of San Juan,PH13074,PH13,123609
PH1307501,Caloocan City,PH13075,PH13,1700530
PH1307502,City of Malabon,PH13075,PH13,376340
PH1307503,City of Navotas,PH13075,PH13,250091
PH1307504,City of Valenzuela,PH13075,PH13,681846
PH1307601,City of Las Piñas,PH13076,PH13,641387
PH1307602,City of Makati,PH13076,PH13,681731
PH1307603,City of Muntinlupa,PH13076,PH13,577515
PH1307604,City of Parañaque,PH13076,PH13,808234
PH1307605,Pasay City,PH13076,PH13,441628
PH1307606,Pateros,PH13076,PH13,65715
PH1307607,Taguig City,PH13076,PH13,1151512
PH1400101,Bangued (Capital),PH14001,PH14,53369
PH1400102,Boliney,PH14001,PH14,3596
PH1400103,Bucay,PH14001,PH14,17226
PH1400104,Bucloc,PH14001,PH14,2734
PH1400105,Daguioman,PH14001,PH14,2428
PH1400106,Danglas,PH14001,PH14,4219
PH1400107,Dolores,PH14001,PH14,11388
PH1400108,La Paz,PH14001,PH14,15923
PH1400109,Lacub,PH14001,PH14,3867
PH1400110,Lagangilang,PH14001,PH14,14540
PH1400111,Lagayan,PH14001,PH14,4560
PH1400112,Langiden,PH14001,PH14,3241
PH1400113,Licuan-Baay (Licuan),PH14001,PH14,4719
PH1400114,Luba,PH14001,PH14,6380
PH1400115,Malibcong,PH14001,PH14,3450
PH1400116,Manabo,PH14001,PH14,10907
PH1400117,Peñarrubia,PH14001,PH14,6730
PH1400118,Pidigan,PH14001,PH14,13023
PH1400119,Pilar,PH14001,PH14,10439
PH1400120,Sallapadan,PH14001,PH14,7238
PH1400121,San Isidro,PH14001,PH14,4604
PH1400122,San Juan,PH14001,PH14,9931
PH1400123,San Quintin,PH14001,PH14,5628
PH1400124,Tayum,PH14001,PH14,14936
PH1400125,Tineg,PH14001,PH14,5792
PH1400126,Tubo,PH14001,PH14,5736
PH1400127,Villaviciosa,PH14001,PH14,5465
PH1401101,Atok,PH14011,PH14,20588
PH1401102,Baguio City,PH14011,PH14,375055
PH1401103,Bakun,PH14011,PH14,18055
PH1401104,Bokod,PH14011,PH14,15039
PH1401105,Buguias,PH14011,PH14,49645
PH1401106,Itogon,PH14011,PH14,63300
PH1401107,Kabayan,PH14011,PH14,17725
PH1401108,Kapangan,PH14011,PH14,20151
PH1401109,Kibungan,PH14011,PH14,18125
PH1401110,La Trinidad (Capital),PH14011,PH14,171256
PH1401111,Mankayan,PH14011,PH14,37495
PH1401112,Sablan,PH14011,PH14,12578
PH1401113,Tuba,PH14011,PH14,54260
PH1401114,Tublay,PH14011,PH14,19329
PH1402701,Banaue,PH14027,PH14,22473
PH1402702,Hungduan,PH14027,PH14,9674
PH1402703,Kiangan,PH14027,PH14,18032
PH1402704,Lagawe (Capital),PH14027,PH14,20279
PH1402705,Lamut,PH14027,PH14,27326
PH1402706,Mayoyao,PH14027,PH14,17885
PH1402707,Alfonso Lista (Potia),PH14027,PH14,36178
PH1402708,Aguinaldo,PH14027,PH14,20224
PH1402709,Hingyon,PH14027,PH14,9496
PH1402710,Tinoc,PH14027,PH14,19504
PH1402711,Asipulo,PH14027,PH14,15818
PH1403201,Balbalan,PH14032,PH14,12652
PH1403206,Lubuagan,PH14032,PH14,8156
PH1403208,Pasil,PH14032,PH14,9895
PH1403209,Pinukpuk,PH14032,PH14,34932
PH1403211,Rizal (Liwan),PH14032,PH14,18284
PH1403213,City of Tabuk (Capital),PH14032,PH14,118158
PH1403214,Tanudan,PH14032,PH14,10851
PH1403215,Tinglayan,PH14032,PH14,13260
PH1404401,Barlig,PH14044,PH14,3791
PH1404402,Bauko,PH14044,PH14,32235
PH1404403,Besao,PH14044,PH14,5672
PH1404404,Bontoc (Capital),PH14044,PH14,25480
PH1404405,Natonin,PH14044,PH14,10516
PH1404406,Paracelis,PH14044,PH14,30946
PH1404407,Sabangan,PH14044,PH14,10315
PH1404408,Sadanga,PH14044,PH14,9079
PH1404409,Sagada,PH14044,PH14,11268
PH1404410,Tadian,PH14044,PH14,19634
PH1408101,Calanasan (Bayag),PH14081,PH14,13934
PH1408102,Conner,PH14081,PH14,27166
PH1408103,Flora,PH14081,PH14,17982
PH1408104,Kabugao (Capital),PH14081,PH14,15552
PH1408105,Luna,PH14081,PH14,19914
PH1408106,Pudtol,PH14081,PH14,17159
PH1408107,Santa Marcela,PH14081,PH14,15891
PH1704001,Boac (Capital),PH17040,PH17,58468
PH1704002,Buenavista,PH17040,PH17,25776
PH1704003,Gasan,PH17040,PH17,37748
PH1704004,Mogpog,PH17040,PH17,35378
PH1704005,Santa Cruz,PH17040,PH17,57912
PH1704006,Torrijos,PH17040,PH17,32888
PH1705101,Abra de Ilog,PH17051,PH17,33423
PH1705102,Calintaan,PH17051,PH17,31196
PH1705103,Looc,PH17051,PH17,10531
PH1705104,Lubang,PH17051,PH17,18943
PH1705105,Magsaysay,PH17051,PH17,42293
PH1705106,Mamburao (Capital),PH17051,PH17,47847
PH1705107,Paluan,PH17051,PH17,16555
PH1705108,Rizal,PH17051,PH17,43721
PH1705109,Sablayan,PH17051,PH17,92098
PH1705110,San Jose,PH17051,PH17,159155
PH1705111,Santa Cruz,PH17051,PH17,41006
PH1705201,Baco,PH17052,PH17,40597
PH1705202,Bansud,PH17052,PH17,45330
PH1705203,Bongabong,PH17052,PH17,81616
PH1705204,Bulalacao (San Pedro),PH17052,PH17,50330
PH1705205,City of Calapan (Capital),PH17052,PH17,150459
PH1705206,Gloria,PH17052,PH17,50170
PH1705207,Mansalay,PH17052,PH17,58774
PH1705208,Naujan,PH17052,PH17,118121
PH1705209,Pinamalayan,PH17052,PH17,92953
PH1705210,Pola,PH17052,PH17,37223
PH1705211,Puerto Galera,PH17052,PH17,44611
PH1705212,Roxas,PH17052,PH17,58622
PH1705213,San Teodoro,PH17052,PH17,22070
PH1705214,Socorro,PH17052,PH17,41800
PH1705215,Victoria,PH17052,PH17,53498
PH1705301,Aborlan,PH17053,PH17,39373
PH1705302,Agutaya,PH17053,PH17,13457
PH1705303,Araceli,PH17053,PH17,16539
PH1705304,Balabac,PH17053,PH17,49945
PH1705305,Bataraza,PH17053,PH17,104127
PH1705306,Brooke's Point,PH17053,PH17,73855
PH1705307,Busuanga,PH17053,PH17,23689
PH1705308,Cagayancillo,PH17053,PH17,6708
PH1705309,Coron,PH17053,PH17,66690
PH1705310,Cuyo,PH17053,PH17,24992
PH1705311,Dumaran,PH17053,PH17,27281
PH1705312,El Nido (Bacuit),PH17053,PH17,50187
PH1705313,Linapacan,PH17053,PH17,17916
PH1705314,Magsaysay,PH17053,PH17,13017
PH1705315,Narra,PH17053,PH17,85441
PH1705316,Puerto Princesa City (Capital),PH17053,PH17,306317
PH1705317,Quezon,PH17053,PH17,73751
PH1705318,Roxas,PH17053,PH17,74330
PH1705319,San Vicente,PH17053,PH17,33559
PH1705320,Taytay,PH17053,PH17,81396
PH1705321,Kalayaan,PH17053,PH17,196
PH1705322,Culion,PH17053,PH17,21640
PH1705323,Rizal (Marcos),PH17053,PH17,61992
PH1705324,Sofronio Española,PH17053,PH17,37184
PH1705901,Alcantara,PH17059,PH17,17991
PH1705902,Banton,PH17059,PH17,5622
PH1705903,Cajidiocan,PH17059,PH17,22845
PH1705904,Calatrava,PH17059,PH17,11129
PH1705905,Concepcion,PH17059,PH17,4099
PH1705906,Corcuera,PH17059,PH17,10820
PH1705907,Looc,PH17059,PH17,22755
PH1705908,Magdiwang,PH17059,PH17,15045
PH1705909,Odiongan,PH17059,PH17,48056
PH1705910,Romblon (Capital),PH17059,PH17,39676
PH1705911,San Agustin,PH17059,PH17,23206
PH1705912,San Andres,PH17059,PH17,16471
PH1705913,San Fernando,PH17059,PH17,24521
PH1705914,San Jose,PH17059,PH17,11913
PH1705915,Santa Fe,PH17059,PH17,16640
PH1705916,Ferrol,PH17059,PH17,7178
PH1705917,Santa Maria (Imelda),PH17059,PH17,10170
